"a0","b0","rho_lo","rho_hi","step_rho","param","mean","sd","q025","q975"
3,1,-0.5,0.5,0.05,"rho",0.49696300507817,0.00297119238902042,0.488969906247904,0.499994894361955
3,1,-0.5,0.5,0.05,"sigma2",1776.1374888393,97.3091446847188,1598.34139218683,1971.35241408565
3,1,-0.5,0.5,0.05,"beta[1]",0.86586768270569,0.0251941135974187,0.816578268771315,0.915802747212109
5,1,-0.3,0.3,0.03,"rho",0.297627688767633,0.00212262378815412,0.291599364608685,0.299925499510658
5,1,-0.3,0.3,0.03,"sigma2",2392.23975411059,129.365627211796,2156.74667186832,2657.4864641732
5,1,-0.3,0.3,0.03,"beta[1]",1.24643916442607,0.0294652757537038,1.18860228386233,1.30485238184723
2,0.5,-0.7,0.7,0.07,"rho",0.655667907465256,0.019221264131986,0.61781574348817,0.693425510221613
2,0.5,-0.7,0.7,0.07,"sigma2",1508.29668016859,83.5972787305144,1351.54656164624,1678.44155022358
2,0.5,-0.7,0.7,0.07,"beta[1]",0.560430255894864,0.0429937606180979,0.479305829129517,0.645266940834147
