"a0","b0","rho\_lo","rho\_hi","step\_rho","param","mean","sd","q025","q975"
3,1,-0.5,0.5,0.05,"rho",2.39327123858132e-05,1.15267440084563e-05,1.8943799980438e-05,5.07526876703949e-05
3,1,-0.5,0.5,0.05,"sigma2",0.00809289098881614,0.00307573209855055,0.0059140977619961,0.016225722441439
3,1,-0.5,0.5,0.05,"beta[1]",0.999983467374025,8.06978105588817e-06,0.999963033278463,0.999989341141691
5,1,-0.3,0.3,0.03,"rho",-1.33775550521873e-05,1.017465756957e-05,-2.35613709133082e-05,-1.09838035382398e-06
5,1,-0.3,0.3,0.03,"sigma2",0.00644521328055792,0.00110053001456109,0.00483501428221331,0.00840361317652354
5,1,-0.3,0.3,0.03,"beta[1]",1.00000924125866,7.16730429489192e-06,0.999999172268271,1.00001853571756
2,0.5,-0.7,0.7,0.07,"rho",-4.1738265877735e-06,0,-4.1738265877735e-06,-4.1738265877735e-06
2,0.5,-0.7,0.7,0.07,"sigma2",0.00281111112372438,0.000207644932460306,0.00243238740383347,0.0032457327338745
2,0.5,-0.7,0.7,0.07,"beta[1]",1.00000287317555,8.43985699679187e-07,1.00000124204362,1.00000454553333
