"a0","b0","rho\_lo","rho\_hi","step\_rho","param","mean","sd","q025","q975"
3,1,-0.5,0.5,0.05,"rho",0.496849138272141,0.00310529267527429,0.488452694902692,0.499916454191227
3,1,-0.5,0.5,0.05,"sigma2",1774.48016955304,96.1709451504934,1596.20616287275,1972.77770374259
3,1,-0.5,0.5,0.05,"beta[1]",0.864802005056463,0.0250858851891037,0.815941892810675,0.914321753320125
5,1,-0.3,0.3,0.03,"rho",0.298009135434203,0.00199774079939116,0.292630792831906,0.299950677548379
5,1,-0.3,0.3,0.03,"sigma2",2390.56536851418,129.043890479511,2150.51237859482,2656.26018314908
5,1,-0.3,0.3,0.03,"beta[1]",1.24506359745163,0.0285566289323544,1.18915871111845,1.3010970585964
2,0.5,-0.7,0.7,0.07,"rho",0.653928258571361,0.0192865380807486,0.614870387338343,0.690048651096918
2,0.5,-0.7,0.7,0.07,"sigma2",1511.6318669391,84.4849990128,1355.16403950324,1686.08185457266
2,0.5,-0.7,0.7,0.07,"beta[1]",0.564251130358334,0.0432198013647878,0.482671950251855,0.651115060525465
